"País" "Latitud" "Població" "Temp0314" "Temp0321" "Temp0327" "Casos0327"
"Peru" -10.12 32.971846 27.29 26.02 27.09 580
"Philippines" 12.77 109.581085 34.16 35.7 36.57 707
"Poland" 52.02 37.846605 0.6 3.08 3.63 1221
"Portugal" 35.99 10.196707 12.01 14.34 14.17 3544
"Puerto_Rico" 18.22 2.86084 31.49 33.83 35.4 64
"Qatar" 25.43 2.88106 25.79 28.14 28.35 549
"Republic_of_Korea" 35.77 51.269183 12.01 14.34 14.17 9332
"Republic_of_Moldova" 46.98 4.033963 2.45 7.78 6.21 177
"Réunion" -21.13 0.895308 31.55 31.98 34.19 135
"Romania" 45.94 19.237682 3.49 8.97 7.06 1029
"Russian_Federation" 41.19 145.93446 8.77 13.09 10.26 1036
"Rwanda" -1.94 12.952209 30.42 29.47 30.77 50
"Saint_Barthélemy" 17.9 0.009885 31.49 33.83 35.4 3
"Saint_Lucia" 13.89 0.183629 32.89 35.04 35.5 3
"Saint_Vincent_and_the_Grenadines" 13.05 0.110947 34.16 35.7 36.57 1
"Saudi_Arabia" 24.22 34.813867 27.14 29.36 30.52 1012
"Senegal" 14.46 16.74393 32.36 34.74 35.3 105
"Serbia" 44.21 8.73737 5.37 10.89 7.69 457
"Seychelles" -6.99 0.09834 29.6 29.55 30.17 7
"Singapore" 1.29 5.850343 32.7 31.2 30.45 683
"Slovakia" 48.67 5.459643 1.47 6.02 5.27 226
"Slovenia" 46.15 2.078932 3.49 8.97 7.06 577
"Somalia" 5.19 15.893219 35.25 32.83 32.25 3
"South_Africa" -34.65 59.30869 25.75 24.08 22.2 927
"Spain" 35.71 46.754783 11.76 14.11 13.76 56188
"Sri_Lanka" 7.88 21.41325 34.96 34.68 33.39 106
"Sudan" 15.46 43.849269 32.07 34.7 35.41 3
"Suriname" 4.03 0.586634 34.72 32.13 31.68 7
"Sweden" 55.13 10.09927 -1.47 0.96 1.91 2806
"Switzerland" 46.81 8.654618 2.45 7.78 6.21 10714
"Syrian_Arab_Republic" 34.81 17.500657 12.2 14.22 14.36 5
"Thailand" 13.04 69.799978 34.16 35.7 36.57 1136
"Timor-Leste" -8.83 1.318442 28.1 27.18 28.02 1
"Togo" 8.53 8.278737 34.91 34.83 33.57 24
"Trinidad_and_Tobago" 10.72 1.399491 34.39 35.11 35.3 61
"Tunisia" 34 11.818618 13.46 14.99 15.95 197
"Turkey" 39.05 84.339067 10.4 13.97 12.67 3629
"Turks_and_Caicos_Islands" 21.56 0.038718 28.73 31.18 32.6 2
"Uganda" 1.38 45.741 32.7 31.2 30.45 14
"Ukraine" 48.28 43.733759 1.47 6.02 5.27 218
"United_Arab_Emirates" 24.46 9.8904 26.59 28.73 29.86 333
"United_Republic_of_Tanzania" -6.37 59.734213 29.64 29.4 30.29 13
"United_States_of_America" 37.26 331.002647 11.08 13.79 14.42 68334
"United_States_Virgin_Islands" 18.04 0.104423 31.49 33.83 35.4 17
"Uruguay" -32.93 3.473727 26.28 25.26 21.58 217
"Uzbekistan" 41.38 33.469199 7.93 12.34 9.3 83
"Venezuela" 8.28 28.435943 34.91 34.83 33.57 91
"Viet_Nam" 15.78 97.338583 32.24 34.59 35.67 153
"Zambia" -13.1 18.383956 28.23 26.51 26.8 3
"Zimbabwe" -19.01 14.862927 29.9 28.86 32.13 3
